timestamp,event_type,details,mouse_x,mouse_y
2025-02-21T20:48:23.821429800+05:30,mouse_move,"Moved to (788, 699)",788,699
2025-02-21T20:48:25.243652900+05:30,mouse_move,"Moved to (788, 700)",788,700
2025-02-21T20:48:25.294620200+05:30,mouse_move,"Moved to (803, 723)",803,723
2025-02-21T20:48:25.345532100+05:30,mouse_move,"Moved to (858, 796)",858,796
timestamp,event_type,details,mouse_x,mouse_y
2025-02-21T20:49:03.884841800+05:30,mouse_move,"Moved to (502, 532)",502,532
2025-02-21T20:49:03.936478400+05:30,mouse_move,"Moved to (502, 531)",502,531
2025-02-21T20:49:04.847575300+05:30,mouse_move,"Moved to (493, 553)",493,553
2025-02-21T20:49:04.900774800+05:30,mouse_move,"Moved to (485, 605)",485,605
2025-02-21T20:49:04.951246800+05:30,mouse_move,"Moved to (486, 608)",486,608
2025-02-21T20:49:05.004623+05:30,mouse_move,"Moved to (487, 608)",487,608
2025-02-21T20:49:05.055166300+05:30,mouse_move,"Moved to (491, 608)",491,608
2025-02-21T20:49:05.156614900+05:30,mouse_move,"Moved to (493, 608)",493,608
2025-02-21T20:49:05.207182300+05:30,mouse_move,"Moved to (506, 618)",506,618
2025-02-21T20:49:05.258006200+05:30,mouse_move,"Moved to (568, 664)",568,664
2025-02-21T20:49:05.308860600+05:30,mouse_move,"Moved to (735, 749)",735,749
2025-02-21T20:49:05.359910500+05:30,mouse_move,"Moved to (924, 863)",924,863
2025-02-21T20:49:05.411434900+05:30,mouse_move,"Moved to (1024, 930)",1024,930
2025-02-21T20:49:05.462222400+05:30,mouse_move,"Moved to (1041, 942)",1041,942
2025-02-21T20:49:05.563499700+05:30,mouse_move,"Moved to (1088, 943)",1088,943
2025-02-21T20:49:05.613987500+05:30,mouse_move,"Moved to (1131, 901)",1131,901
2025-02-21T20:49:05.664753400+05:30,mouse_move,"Moved to (1160, 652)",1160,652
2025-02-21T20:49:05.715375900+05:30,mouse_move,"Moved to (1145, 538)",1145,538
2025-02-21T20:49:05.767547400+05:30,mouse_move,"Moved to (1131, 516)",1131,516
2025-02-21T20:49:05.818281900+05:30,mouse_move,"Moved to (1120, 507)",1120,507
2025-02-21T20:49:05.869040+05:30,mouse_move,"Moved to (1084, 492)",1084,492
2025-02-21T20:49:05.919510700+05:30,mouse_move,"Moved to (985, 448)",985,448
2025-02-21T20:49:05.970284100+05:30,mouse_move,"Moved to (962, 431)",962,431
2025-02-21T20:49:06.021754900+05:30,mouse_move,"Moved to (954, 420)",954,420
2025-02-21T20:49:06.073113400+05:30,mouse_move,"Moved to (936, 401)",936,401
2025-02-21T20:49:06.123782500+05:30,mouse_move,"Moved to (928, 394)",928,394
2025-02-21T20:49:06.174455500+05:30,mouse_move,"Moved to (927, 393)",927,393
2025-02-21T20:49:06.427648100+05:30,mouse_move,"Moved to (926, 392)",926,392
2025-02-21T20:49:07.541182400+05:30,mouse_move,"Moved to (936, 402)",936,402
2025-02-21T20:49:07.592070600+05:30,mouse_move,"Moved to (1180, 697)",1180,697
2025-02-21T20:49:07.643560400+05:30,mouse_move,"Moved to (1754, 1236)",1754,1236
2025-02-21T20:49:07.694223300+05:30,mouse_move,"Moved to (1811, 1272)",1811,1272
2025-02-21T20:49:07.997752800+05:30,mouse_move,"Moved to (1812, 1272)",1812,1272
2025-02-21T20:49:08.048782500+05:30,mouse_move,"Moved to (1856, 1252)",1856,1252
2025-02-21T20:49:08.099626700+05:30,mouse_move,"Moved to (1884, 1233)",1884,1233
2025-02-21T20:49:08.201832900+05:30,mouse_move,"Moved to (1888, 1233)",1888,1233
2025-02-21T20:49:08.252272400+05:30,mouse_move,"Moved to (1904, 1233)",1904,1233
2025-02-21T20:49:08.302867100+05:30,mouse_move,"Moved to (1948, 1261)",1948,1261
2025-02-21T20:49:08.355630900+05:30,mouse_move,"Moved to (1952, 1264)",1952,1264
2025-02-21T20:49:08.507790700+05:30,mouse_move,"Moved to (1955, 1264)",1955,1264
2025-02-21T20:49:08.558625700+05:30,mouse_move,"Moved to (1956, 1270)",1956,1270
2025-02-21T20:49:08.610453300+05:30,mouse_move,"Moved to (1955, 1300)",1955,1300
2025-02-21T20:49:08.661270700+05:30,mouse_move,"Moved to (1952, 1344)",1952,1344
2025-02-21T20:49:08.712391100+05:30,mouse_move,"Moved to (1957, 1388)",1957,1388
2025-02-21T20:49:08.762915300+05:30,mouse_move,"Moved to (1957, 1391)",1957,1391
2025-02-21T20:49:09.219655200+05:30,mouse_move,"Moved to (1956, 1392)",1956,1392
2025-02-21T20:49:09.270122400+05:30,mouse_move,"Moved to (1952, 1392)",1952,1392
2025-02-21T20:49:09.321248900+05:30,mouse_move,"Moved to (1946, 1392)",1946,1392
2025-02-21T20:49:09.371732400+05:30,mouse_move,"Moved to (1940, 1392)",1940,1392
2025-02-21T20:49:09.422253800+05:30,mouse_move,"Moved to (1937, 1392)",1937,1392
2025-02-21T20:49:09.475255700+05:30,mouse_move,"Moved to (1934, 1392)",1934,1392
2025-02-21T20:49:09.526143900+05:30,mouse_move,"Moved to (1930, 1392)",1930,1392
2025-02-21T20:49:10.438215400+05:30,mouse_move,"Moved to (1929, 1391)",1929,1391
2025-02-21T20:49:10.590311500+05:30,mouse_move,"Moved to (1903, 1402)",1903,1402
2025-02-21T20:49:10.641439800+05:30,mouse_move,"Moved to (1895, 1405)",1895,1405
2025-02-21T20:49:10.691899700+05:30,mouse_move,"Moved to (1867, 1405)",1867,1405
2025-02-21T20:49:10.742578900+05:30,mouse_move,"Moved to (1804, 1405)",1804,1405
2025-02-21T20:49:10.793567900+05:30,mouse_move,"Moved to (1783, 1406)",1783,1406
2025-02-21T20:49:10.844480900+05:30,mouse_move,"Moved to (1761, 1441)",1761,1441
2025-02-21T20:49:10.895012200+05:30,mouse_move,"Moved to (1760, 1460)",1760,1460
2025-02-21T20:49:10.945950200+05:30,mouse_move,"Moved to (1763, 1469)",1763,1469
2025-02-21T20:49:10.996614700+05:30,mouse_move,"Moved to (1764, 1472)",1764,1472
2025-02-21T20:49:11.047449100+05:30,mouse_move,"Moved to (1766, 1474)",1766,1474
2025-02-21T20:49:11.553908300+05:30,mouse_move,"Moved to (1804, 1456)",1804,1456
2025-02-21T20:49:11.604780900+05:30,mouse_move,"Moved to (1836, 1447)",1836,1447
2025-02-21T20:49:11.655617300+05:30,mouse_move,"Moved to (1842, 1447)",1842,1447
2025-02-21T20:49:11.960609800+05:30,mouse_move,"Moved to (1844, 1450)",1844,1450
2025-02-21T20:49:12.011089700+05:30,mouse_move,"Moved to (1844, 1474)",1844,1474
2025-02-21T20:49:12.061986100+05:30,mouse_move,"Moved to (1845, 1484)",1845,1484
2025-02-21T20:49:12.113115300+05:30,mouse_move,"Moved to (1851, 1496)",1851,1496
2025-02-21T20:49:12.163561600+05:30,mouse_move,"Moved to (1865, 1500)",1865,1500
2025-02-21T20:49:12.214035+05:30,mouse_move,"Moved to (1887, 1511)",1887,1511
2025-02-21T20:49:12.266027300+05:30,mouse_move,"Moved to (1893, 1516)",1893,1516
2025-02-21T20:49:12.316831300+05:30,mouse_move,"Moved to (1997, 1504)",1997,1504
2025-02-21T20:49:12.367672500+05:30,mouse_move,"Moved to (2388, 765)",2388,765
2025-02-21T20:49:12.418233600+05:30,mouse_move,"Moved to (2436, 257)",2436,257
2025-02-21T20:49:12.469038+05:30,mouse_move,"Moved to (2427, 217)",2427,217
2025-02-21T20:49:12.569957300+05:30,mouse_move,"Moved to (2443, 202)",2443,202
2025-02-21T20:49:12.620723400+05:30,mouse_move,"Moved to (2557, 141)",2557,141
2025-02-21T20:49:12.672823200+05:30,mouse_move,"Moved to (2651, 87)",2651,87
2025-02-21T20:49:12.723490400+05:30,mouse_move,"Moved to (2658, 78)",2658,78
2025-02-21T20:49:12.773918900+05:30,mouse_move,"Moved to (2658, 77)",2658,77
2025-02-21T20:49:12.825417500+05:30,mouse_move,"Moved to (2658, 73)",2658,73
2025-02-21T20:49:12.876318700+05:30,mouse_move,"Moved to (2658, 71)",2658,71
2025-02-21T20:49:12.927225800+05:30,mouse_move,"Moved to (2658, 67)",2658,67
2025-02-21T20:49:13.131435300+05:30,mouse_move,"Moved to (2649, 66)",2649,66
2025-02-21T20:49:13.182634600+05:30,mouse_move,"Moved to (2641, 66)",2641,66
2025-02-21T20:49:13.233701700+05:30,mouse_move,"Moved to (2638, 66)",2638,66
2025-02-21T20:49:13.284193800+05:30,mouse_move,"Moved to (2626, 66)",2626,66
2025-02-21T20:49:13.335761400+05:30,mouse_move,"Moved to (2545, 97)",2545,97
2025-02-21T20:49:13.386674300+05:30,mouse_move,"Moved to (2207, 281)",2207,281
2025-02-21T20:49:13.437596400+05:30,mouse_move,"Moved to (1614, 786)",1614,786
2025-02-21T20:49:13.488259700+05:30,mouse_move,"Moved to (1487, 976)",1487,976
2025-02-21T20:49:13.538969100+05:30,mouse_move,"Moved to (1564, 931)",1564,931
2025-02-21T20:49:13.591012700+05:30,mouse_move,"Moved to (2062, 519)",2062,519
2025-02-21T20:49:13.641644500+05:30,mouse_move,"Moved to (2091, 455)",2091,455
2025-02-21T20:49:13.692599600+05:30,mouse_move,"Moved to (2000, 444)",2000,444
2025-02-21T20:49:13.744361500+05:30,mouse_move,"Moved to (1419, 424)",1419,424
2025-02-21T20:49:13.794923100+05:30,mouse_move,"Moved to (1325, 408)",1325,408
2025-02-21T20:49:13.896100200+05:30,mouse_move,"Moved to (1298, 404)",1298,404
2025-02-21T20:49:13.946855700+05:30,mouse_move,"Moved to (1261, 385)",1261,385
2025-02-21T20:49:13.999978300+05:30,mouse_move,"Moved to (1181, 368)",1181,368
2025-02-21T20:49:14.050530+05:30,mouse_move,"Moved to (1195, 367)",1195,367
2025-02-21T20:49:14.100976700+05:30,mouse_move,"Moved to (2022, 399)",2022,399
2025-02-21T20:49:14.152737200+05:30,mouse_move,"Moved to (2683, 356)",2683,356
2025-02-21T20:49:14.203786900+05:30,mouse_move,"Moved to (2690, 348)",2690,348
2025-02-21T20:49:14.256008400+05:30,mouse_move,"Moved to (2686, 332)",2686,332
2025-02-21T20:49:14.306784600+05:30,mouse_move,"Moved to (2661, 268)",2661,268
2025-02-21T20:49:14.357616100+05:30,mouse_move,"Moved to (2629, 214)",2629,214
2025-02-21T20:49:14.408316600+05:30,mouse_move,"Moved to (2631, 201)",2631,201
2025-02-21T20:49:14.458991400+05:30,mouse_move,"Moved to (2636, 159)",2636,159
2025-02-21T20:49:14.511646500+05:30,mouse_move,"Moved to (2636, 117)",2636,117
2025-02-21T20:49:14.562259300+05:30,mouse_move,"Moved to (2636, 109)",2636,109
2025-02-21T20:49:14.612892600+05:30,mouse_move,"Moved to (2636, 100)",2636,100
2025-02-21T20:49:14.668265800+05:30,mouse_move,"Moved to (2637, 99)",2637,99
2025-02-21T20:49:14.872122800+05:30,mouse_move,"Moved to (2637, 92)",2637,92
2025-02-21T20:49:14.922605400+05:30,mouse_move,"Moved to (2637, 74)",2637,74
2025-02-21T20:49:14.974612200+05:30,mouse_move,"Moved to (2637, 73)",2637,73
2025-02-21T20:49:15.695873800+05:30,mouse_move,"Moved to (2617, 72)",2617,72
2025-02-21T20:49:15.746896100+05:30,mouse_move,"Moved to (2585, 91)",2585,91
2025-02-21T20:49:15.797538200+05:30,mouse_move,"Moved to (2568, 105)",2568,105
2025-02-21T20:49:15.848036400+05:30,mouse_move,"Moved to (2537, 157)",2537,157
2025-02-21T20:49:15.898497100+05:30,mouse_move,"Moved to (2517, 217)",2517,217
2025-02-21T20:49:15.949118400+05:30,mouse_move,"Moved to (2507, 345)",2507,345
2025-02-21T20:49:15.999935400+05:30,mouse_move,"Moved to (2523, 574)",2523,574
2025-02-21T20:49:16.050728600+05:30,mouse_move,"Moved to (2559, 945)",2559,945
2025-02-21T20:49:16.101324600+05:30,mouse_move,"Moved to (2570, 1532)",2570,1532
2025-02-21T20:49:16.151994200+05:30,mouse_move,"Moved to (2570, 1799)",2570,1799
2025-02-21T20:49:16.303719600+05:30,mouse_move,"Moved to (2571, 1799)",2571,1799
2025-02-21T20:49:16.354851500+05:30,mouse_move,"Moved to (2577, 1798)",2577,1798
2025-02-21T20:49:16.405788200+05:30,mouse_move,"Moved to (2584, 1795)",2584,1795
2025-02-21T20:49:16.456343800+05:30,mouse_move,"Moved to (2589, 1793)",2589,1793
2025-02-21T20:49:16.506904200+05:30,mouse_move,"Moved to (2585, 1787)",2585,1787
2025-02-21T20:49:16.557546300+05:30,mouse_move,"Moved to (2376, 1741)",2376,1741
2025-02-21T20:49:16.608206100+05:30,mouse_move,"Moved to (2315, 1734)",2315,1734
2025-02-21T20:49:16.658616500+05:30,mouse_move,"Moved to (2309, 1734)",2309,1734
2025-02-21T20:49:16.709551700+05:30,mouse_move,"Moved to (2290, 1734)",2290,1734
2025-02-21T20:49:16.760640600+05:30,mouse_move,"Moved to (2242, 1735)",2242,1735
2025-02-21T20:49:16.811513700+05:30,mouse_move,"Moved to (2142, 1748)",2142,1748
2025-02-21T20:49:16.863296+05:30,mouse_move,"Moved to (2110, 1755)",2110,1755
2025-02-21T20:49:16.914210900+05:30,mouse_move,"Moved to (2066, 1759)",2066,1759
2025-02-21T20:49:16.965378600+05:30,mouse_move,"Moved to (1881, 1748)",1881,1748
2025-02-21T20:49:17.016333100+05:30,mouse_move,"Moved to (1452, 1686)",1452,1686
2025-02-21T20:49:17.066846+05:30,mouse_move,"Moved to (1353, 1680)",1353,1680
2025-02-21T20:49:17.117687500+05:30,mouse_move,"Moved to (1348, 1680)",1348,1680
2025-02-21T20:49:17.168409+05:30,mouse_move,"Moved to (1287, 1683)",1287,1683
2025-02-21T20:49:17.219173+05:30,mouse_move,"Moved to (880, 1683)",880,1683
2025-02-21T20:49:17.269933300+05:30,mouse_move,"Moved to (550, 1702)",550,1702
2025-02-21T20:49:17.320886600+05:30,mouse_move,"Moved to (539, 1709)",539,1709
2025-02-21T20:49:17.371531900+05:30,mouse_move,"Moved to (538, 1710)",538,1710
2025-02-21T20:49:17.421989100+05:30,mouse_move,"Moved to (535, 1722)",535,1722
2025-02-21T20:49:17.472912400+05:30,mouse_move,"Moved to (540, 1739)",540,1739
2025-02-21T20:49:17.523707500+05:30,mouse_move,"Moved to (545, 1740)",545,1740
2025-02-21T20:49:17.574212800+05:30,mouse_move,"Moved to (548, 1740)",548,1740
2025-02-21T20:49:17.624745700+05:30,mouse_move,"Moved to (549, 1740)",549,1740
2025-02-21T20:49:17.777743200+05:30,mouse_move,"Moved to (556, 1740)",556,1740
2025-02-21T20:49:17.828196100+05:30,mouse_move,"Moved to (559, 1740)",559,1740
2025-02-21T20:49:17.880715800+05:30,mouse_move,"Moved to (560, 1740)",560,1740
2025-02-21T20:49:17.931495700+05:30,mouse_move,"Moved to (561, 1738)",561,1738
2025-02-21T20:49:18.135120500+05:30,keyboard,[A],561,1738
2025-02-21T20:49:18.238249800+05:30,keyboard,"[A, F, S]",561,1738
2025-02-21T20:49:18.296064100+05:30,keyboard,"[F, S]",561,1738
2025-02-21T20:49:18.346981+05:30,keyboard,[F],561,1738
2025-02-21T20:49:18.397932500+05:30,keyboard,[B],561,1738
2025-02-21T20:49:18.453651500+05:30,keyboard,"[A, B]",561,1738
2025-02-21T20:49:18.504689800+05:30,keyboard,"[A, H]",561,1738
2025-02-21T20:49:18.557345400+05:30,keyboard,[F],561,1738
2025-02-21T20:49:18.608030200+05:30,keyboard,"[B, F]",561,1738
2025-02-21T20:49:18.661729300+05:30,keyboard,[],561,1738
2025-02-21T20:49:18.712694100+05:30,keyboard,"[A, J, K]",561,1738
2025-02-21T20:49:18.763581400+05:30,keyboard,[A],561,1738
2025-02-21T20:49:18.814359300+05:30,keyboard,"[B, F]",561,1738
2025-02-21T20:49:18.864837300+05:30,keyboard,[F],561,1738
2025-02-21T20:49:18.918728500+05:30,keyboard,"[J, K]",561,1738
2025-02-21T20:49:18.970679+05:30,keyboard,"[A, S]",561,1738
2025-02-21T20:49:19.026767500+05:30,keyboard,"[F, N]",561,1738
2025-02-21T20:49:19.078164700+05:30,keyboard,[F],561,1738
2025-02-21T20:49:19.128860200+05:30,keyboard,[],561,1738
2025-02-21T20:49:19.179774900+05:30,keyboard,[J],561,1738
2025-02-21T20:49:19.230516400+05:30,keyboard,[],561,1738
2025-02-21T20:49:19.738363700+05:30,keyboard,[Backspace],561,1738
2025-02-21T20:49:21.123057900+05:30,keyboard,[],561,1738
2025-02-21T20:49:21.173719100+05:30,keyboard,[LAlt],561,1738
2025-02-21T20:49:21.340097100+05:30,keyboard,"[Tab, LAlt]",561,1738
2025-02-21T20:49:21.545353700+05:30,keyboard,[LAlt],561,1738
2025-02-21T20:49:21.903733400+05:30,mouse_move,"Moved to (793, 1715)",793,1715
2025-02-21T20:49:21.955037900+05:30,mouse_move,"Moved to (1048, 1667)",1048,1667
2025-02-21T20:49:22.006096300+05:30,mouse_move,"Moved to (1053, 1649)",1053,1649
2025-02-21T20:49:22.057050400+05:30,mouse_move,"Moved to (1058, 1617)",1058,1617
2025-02-21T20:49:22.107924800+05:30,mouse_move,"Moved to (1058, 1602)",1058,1602
2025-02-21T20:49:22.158450300+05:30,mouse_move,"Moved to (1065, 1551)",1065,1551
2025-02-21T20:49:22.209275200+05:30,mouse_move,"Moved to (1140, 1308)",1140,1308
2025-02-21T20:49:22.259870700+05:30,mouse_move,"Moved to (1203, 1102)",1203,1102
2025-02-21T20:49:22.310798900+05:30,mouse_move,"Moved to (1207, 1091)",1207,1091
2025-02-21T20:49:22.919006100+05:30,mouse_move,"Moved to (1209, 1090)",1209,1090
2025-02-21T20:49:22.969911700+05:30,mouse_move,"Moved to (1210, 1090)",1210,1090
2025-02-21T20:49:23.020862900+05:30,mouse_move,"Moved to (1216, 1093)",1216,1093
2025-02-21T20:49:23.181013500+05:30,keyboard,[],1157,1023
2025-02-21T20:49:23.181097600+05:30,mouse_move,"Moved to (1157, 1023)",1157,1023
2025-02-21T20:49:23.237056400+05:30,mouse_move,"Moved to (1122, 961)",1122,961
2025-02-21T20:49:23.288074600+05:30,mouse_move,"Moved to (1067, 883)",1067,883
2025-02-21T20:49:23.339917+05:30,mouse_move,"Moved to (986, 794)",986,794
2025-02-21T20:49:23.390773500+05:30,mouse_move,"Moved to (976, 789)",976,789
2025-02-21T20:49:23.441226400+05:30,mouse_move,"Moved to (973, 789)",973,789
2025-02-21T20:49:23.545527500+05:30,mouse_move,"Moved to (972, 798)",972,798
2025-02-21T20:49:23.596037200+05:30,mouse_move,"Moved to (1170, 1162)",1170,1162
2025-02-21T20:49:23.647136100+05:30,mouse_move,"Moved to (1435, 1416)",1435,1416
2025-02-21T20:49:23.698002+05:30,mouse_move,"Moved to (1460, 1471)",1460,1471
2025-02-21T20:49:23.748567800+05:30,mouse_move,"Moved to (1581, 1648)",1581,1648
2025-02-21T20:49:23.799048300+05:30,mouse_move,"Moved to (1693, 1697)",1693,1697
2025-02-21T20:49:23.852323700+05:30,mouse_move,"Moved to (1886, 1716)",1886,1716
2025-02-21T20:49:23.903341400+05:30,mouse_move,"Moved to (1906, 1716)",1906,1716
2025-02-21T20:49:23.956803400+05:30,mouse_move,"Moved to (1936, 1716)",1936,1716
2025-02-21T20:49:24.007655800+05:30,mouse_move,"Moved to (1959, 1713)",1959,1713
2025-02-21T20:49:24.059730900+05:30,mouse_move,"Moved to (1994, 1712)",1994,1712
2025-02-21T20:49:24.111246100+05:30,mouse_move,"Moved to (2047, 1712)",2047,1712
2025-02-21T20:49:24.161908400+05:30,mouse_move,"Moved to (2152, 1723)",2152,1723
2025-02-21T20:49:24.263043400+05:30,mouse_move,"Moved to (2170, 1731)",2170,1731
2025-02-21T20:49:24.313916800+05:30,mouse_move,"Moved to (2172, 1732)",2172,1732
2025-02-21T20:49:24.364393800+05:30,mouse_move,"Moved to (2177, 1737)",2177,1737
2025-02-21T20:49:24.415119900+05:30,mouse_move,"Moved to (2182, 1738)",2182,1738
2025-02-21T20:49:24.465904400+05:30,mouse_move,"Moved to (2185, 1739)",2185,1739
2025-02-21T20:49:24.516831600+05:30,mouse_move,"Moved to (2201, 1745)",2201,1745
2025-02-21T20:49:24.569724900+05:30,mouse_move,"Moved to (2222, 1750)",2222,1750
2025-02-21T20:49:24.620624600+05:30,mouse_move,"Moved to (2237, 1754)",2237,1754
2025-02-21T20:49:24.671135800+05:30,mouse_move,"Moved to (2240, 1754)",2240,1754
2025-02-21T20:49:24.721740900+05:30,mouse_move,"Moved to (2243, 1757)",2243,1757
2025-02-21T20:49:25.279665600+05:30,mouse_move,"Moved to (2239, 1751)",2239,1751
2025-02-21T20:49:25.330100300+05:30,mouse_move,"Moved to (2238, 1736)",2238,1736
2025-02-21T20:49:25.380521800+05:30,mouse_move,"Moved to (2238, 1689)",2238,1689
2025-02-21T20:49:25.431456600+05:30,mouse_move,"Moved to (2238, 1650)",2238,1650
2025-02-21T20:49:25.482132600+05:30,mouse_move,"Moved to (2238, 1642)",2238,1642
2025-02-21T20:49:25.532564700+05:30,mouse_move,"Moved to (2238, 1640)",2238,1640
2025-02-21T20:49:26.100731700+05:30,mouse_move,"Moved to (2259, 1726)",2259,1726
2025-02-21T20:49:26.151319400+05:30,mouse_move,"Moved to (2262, 1743)",2262,1743
2025-02-21T20:49:26.202365+05:30,mouse_move,"Moved to (2263, 1744)",2263,1744
2025-02-21T20:49:26.253285300+05:30,mouse_move,"Moved to (2238, 1742)",2238,1742
2025-02-21T20:49:26.303818100+05:30,mouse_move,"Moved to (1912, 1607)",1912,1607
2025-02-21T20:49:26.354709900+05:30,mouse_move,"Moved to (1259, 1236)",1259,1236
2025-02-21T20:49:26.405492500+05:30,mouse_move,"Moved to (999, 1048)",999,1048
2025-02-21T20:49:26.458001800+05:30,mouse_move,"Moved to (761, 845)",761,845
2025-02-21T20:49:26.508825700+05:30,mouse_move,"Moved to (690, 769)",690,769
2025-02-21T20:49:26.559461200+05:30,mouse_move,"Moved to (663, 734)",663,734
2025-02-21T20:49:26.609931200+05:30,mouse_move,"Moved to (638, 709)",638,709
2025-02-21T20:49:26.660605900+05:30,mouse_move,"Moved to (615, 681)",615,681
2025-02-21T20:49:26.711995100+05:30,mouse_move,"Moved to (580, 641)",580,641
2025-02-21T20:49:26.763074700+05:30,mouse_move,"Moved to (559, 612)",559,612
2025-02-21T20:49:26.813993400+05:30,mouse_move,"Moved to (548, 598)",548,598
2025-02-21T20:49:26.865159400+05:30,mouse_move,"Moved to (544, 591)",544,591
2025-02-21T20:49:26.915997700+05:30,mouse_move,"Moved to (540, 585)",540,585
2025-02-21T20:49:26.966792700+05:30,mouse_move,"Moved to (536, 579)",536,579
2025-02-21T20:49:27.017713100+05:30,mouse_move,"Moved to (531, 572)",531,572
2025-02-21T20:49:27.069497800+05:30,mouse_move,"Moved to (528, 566)",528,566
2025-02-21T20:49:27.121257400+05:30,mouse_move,"Moved to (524, 556)",524,556
2025-02-21T20:49:27.172106400+05:30,mouse_move,"Moved to (521, 552)",521,552
2025-02-21T20:49:27.475758500+05:30,mouse_move,"Moved to (521, 560)",521,560
2025-02-21T20:49:27.526661100+05:30,mouse_move,"Moved to (521, 562)",521,562
2025-02-21T20:49:27.577248300+05:30,mouse_move,"Moved to (521, 564)",521,564
2025-02-21T20:49:27.729175200+05:30,mouse_move,"Moved to (521, 565)",521,565
2025-02-21T20:49:27.830059300+05:30,mouse_move,"Moved to (521, 569)",521,569
